,station,access,125,99,93,87,85,97,65,67
column-options,,,ardp,,,,,,,ardp
route-name,,,,,,,,,,
days,,,NYP,BOS,BOS,BOS,BOS,NYP,BOS,BOS
updown,,,,,,,,,,
BOS,,,blank,,,,,blank,,
BBY,,,blank,,,,,blank,,
RTE,,,blank,,,,,blank,,
PVD,,,blank,,,,,blank,,
KIN,,,blank,,,,,blank,,
WLY,,,blank,,,,,blank,,
NLC,,,blank,,,,,blank,,
OSB,,,blank,,,,,blank,,
NHV,,,blank,,,,,blank,,
BRP,,,blank,,,,,blank,,
STM,,,blank,,,,,blank,,
NRO,,,blank,,,,,blank,,
NYP,,,first two-row,,,,,first two-row,,
NWK,,,,,,,,,,
EWR,,,,,,,,,,
MET,,,,,,,,,,
TRE,,,,,,,,,,
PHL,,,,,,,,,,
WIL,,,,,,,,,,
BAL,,,,,,,,,,
BWI,,,,,,,,,,
NCR,,,,,,,,,,
WAS,,,,,,,,,,
ALX,,,,,,,,,,
QAN,,,,,,,,,,
FBG,,,,,,,,,,
ASD,,,,,,,,,,
RVR,,,last two-row,last two-row,,,last two-row,,,
PTB,,,blank,blank,,,blank,,To Newport<br>News,To Newport<br>News
NFK,,,blank,blank,last,last,blank,To Miami,blank,blank
